Lead ID,Brand,Legal Name,INN,OGRN / OGRNIP,Legal Status,Region,City,Segment,Subsegment,Website,Company Description,Company Size,Employee Estimate,Revenue,Profit,Financial Period,Revenue Source,Revenue Confidence,Signal Level,Signal Summary,Signal Date,Signal Source,News Context,Business Context,Why Company Is Selected,Consulting Hypothesis,Potential Product,Owner,Founder,CEO,LPR,LPR Role,LPR Source,Primary Phone,Primary Email,Telegram,VK,HH Contact,Contact Form,Other Contact,Contact Type,Contact Source,Number Of Contacts Found,Current Stage,Final Quick Status,Attempts,Last Action,Last Meaningful Change,Blocker,Next Action,Exclusion Reason,Added At,Updated At,Run ID
GRM-011,ET.LASER,ООО «ЕТ-ЛАЗЕР»,9705129176,1197746162525,Действует,Москва,Москва,Beauty / Medical,Лазерная косметология,https://et-laser.ru/,Сеть клиник лазерной косметологии с партнёрской программой и клиентской базой,Малое предприятие,2 по юрлицу,52495000,178000,2025,РБК Компании,HIGH,S2,Рост выручки с 37.6 до 52.5 млн и запуск масштабируемой партнёрской программы с личным кабинетом и прозрачной воронкой,2026-07-20,https://et-laser.ru/partnership; https://companies.rbc.ru/id/1197746162525-obschestvo-s-ogranichennoj-otvetstvennostyu-et-lazer/,Партнёрская программа ориентирована на массовое привлечение клиентов через мастеров beauty-сегмента,Компания масштабирует новый канал продаж и управляет конверсией партнёрских лидов в записи и оплаты,Выручка выросла почти на 40% и одновременно запущен отдельный партнёрский канал с личным кабинетом; это создаёт задачу по экономике канала CRM и контролю конверсии,Диагностика партнёрской воронки экономики привлечения и операционной модели между двумя городами,Диагностика коммерческой системы,Галушин Виктор Николаевич; Смирнов Дмитрий Андреевич,Галушин Виктор Николаевич,Смирнова Нелли Сергеевна,Галушин Виктор Николаевич / Смирнова Нелли Сергеевна,Соучредитель / генеральный директор,Т-Банк; официальный сайт,+7 (499) 110-16-66,info@et-laser.ru,,,,https://et-laser.ru/about,https://et-laser.ru/partnership,Корпоративный маршрут и форма письма директору,Официальный сайт ET.LASER,4,CONTACT ROUTE FOUND,МОЖНО СВЯЗЫВАТЬСЯ,1,Подтверждены юрлицо финансы владельцы новый партнёрский канал и контакты,2026-07-20T18:10:00+03:00,,Во второй итерации подготовить анализ партнёрской воронки и обращение ЛПР,,2026-07-20T18:10:00+03:00,2026-07-20T18:10:00+03:00,GR-20260720-002
GRM-012,AldanDev,ООО «АЛДАНДЕВ»,9726056391,1237700710202,Действует,Москва,Москва,IT / Venture,Венчурная студия и разработка ПО,https://aldandev.com/,Венчурная экосистема и разработчик ПО для масштабирования портфельных компаний,Среднее,,149095000,-8219000,2025,Saby,HIGH,S3,Смена генерального директора и владельца весной 2026; компания заявляет помощь портфельным бизнесам с масштабированием и выходом на новые рынки,2026-04-29,https://aldandev.com/; https://saby.ru/profile/9726056391-770701001,В марте–апреле 2026 сменились генеральный директор и владелец,Компания сама работает на стыке венчурной студии разработки и стратегического сопровождения,Выручка 149.1 млн при убытке 8.2 млн и смене управленческой структуры; возможна задача по коммерческой модели портфеля но есть пересечение с консалтингом,Проверить потребность в портфельной аналитике P&L и системе управления проектами после смены руководства,Настройка P&L и аналитики,АО «ГИХОН»,,Сотников Илья Алексеевич,Сотников Илья Алексеевич,Генеральный директор,Saby; Т-Банк,+7 915 211-46-17,team@aldandev.com,,,,https://aldandev.com/,,Корпоративный маршрут к генеральному директору,Официальный сайт AldanDev,3,CONTACT ROUTE FOUND,RESERVE,1,Подтверждены новое руководство финансы и контакты,2026-07-20T18:10:00+03:00,Компания сама оказывает услуги масштабирования и может быть конкурентом или партнёром; запрос на внешний консалтинг не подтверждён,Проверить роль компании как покупателя а не поставщика консалтинга,,2026-07-20T18:10:00+03:00,2026-07-20T18:10:00+03:00,GR-20260720-002
GRM-013,УЗЕЛ СИЛА,ООО «СИЛА-ЦЕНТР»,6312113811,1126312000011,Действует,Самарская область,Самара,Производство / B2B,Крепёж для деревянного домостроения,https://uzel-sila.ru/,Единственный лицензированный производитель крепежа УЗЕЛ СИЛА с дилерской сетью по России,Малое предприятие,10,20750000,124000,2024,ФНС через Tochka / Xfirm,HIGH,S2,Развитая дилерская сеть по России; сотрудничество со строительными компаниями и расширение представленности в сетях,2026-07-20,https://uzel-sila.ru/о-компании/; https://check.tochka.com/company/1126312000011/,Производитель расширяет сеть представителей и приглашает строительные и проектные компании к сотрудничеству,Небольшое производство управляет федеральным дилерским каналом при низкой чистой прибыли,Компания имеет сеть представителей по стране и производственную мощность на более тысячи домов при выручке 20.8 млн и прибыли 124 тыс; вероятна задача по экономике дилеров и маржинальности,Диагностика дилерского канала территориальной эффективности CRM и маржинальности продаж,Аудит маркетинга и продаж,Ненашев Сергей Владимирович,Ненашев Сергей Владимирович,Ненашев Сергей Владимирович,Ненашев Сергей Владимирович,Собственник и директор,Tochka; официальный сайт,+7 916 140-55-99,sale@uzel-sila.ru,,ссылка с официального сайта,,https://uzel-sila.ru/контакты/,+7 927 716-38-13; 8 800 755-37-57; info@uzel-sila.ru,Прямой телефон директора и корпоративные маршруты,Официальный сайт УЗЕЛ СИЛА,6,CONTACT ROUTE FOUND,МОЖНО СВЯЗЫВАТЬСЯ,1,Подтверждены юрлицо собственник масштаб дилерский сигнал и прямой телефон директора,2026-07-20T18:10:00+03:00,,Во второй итерации подготовить отраслевой benchmark дилерской сети и обращение собственнику,,2026-07-20T18:10:00+03:00,2026-07-20T18:10:00+03:00,GR-20260720-002
GRM-014,1КЛИК,ООО «1КЛИК»,9715234324,5157746173448,Действует,Москва,Москва,IT / B2B,1С-интеграция и автоматизация,https://www.1clickgroup.ru/,Интегратор 1С и корпоративных решений для автоматизации бизнеса,Среднее,25,444387000,109351000,2025,РБК Компании,HIGH,S3,Выручка выросла с 298.1 до 444.4 млн при команде 25 человек; гипотеза запроса требует проверки,2026-07-08,https://companies.rbc.ru/id/5157746173448-obschestvo-s-ogranichennoj-otvetstvennostyu-1klik/; https://www.1clickgroup.ru/,Рост проектного IT-бизнеса почти на 50% за год,Высокая выручка на сотрудника указывает на интенсивную проектную модель и возможные ограничения пресейла и delivery,Компания выросла на 49% до 444.4 млн при 25 сотрудниках и высокой прибыли; возможен разрыв между продажами пресейлом ресурсным планированием и качеством проектов,Проверить систему управления проектной воронкой сегментацию клиентов загрузку команды и повторные продажи,Диагностика коммерческой системы,Агафонов Антон Юрьевич; Ревунова Екатерина Владимировна,,Агафонов Антон Юрьевич,Агафонов Антон Юрьевич,Соучредитель и генеральный директор,РБК Компании,+7 (495) 223-12-05,mail@1clickgroup.ru,,,,https://www.1clickgroup.ru/,,Корпоративный маршрут к генеральному директору,Официальный сайт 1КЛИК,3,CONTACT ROUTE FOUND,МОЖНО СВЯЗЫВАТЬСЯ,1,Подтверждены юрлицо финансы владельцы и контакты,2026-07-20T18:10:00+03:00,,Во второй итерации проверить свежий управленческий сигнал и подготовить обращение,,2026-07-20T18:10:00+03:00,2026-07-20T18:10:00+03:00,GR-20260720-002
GRM-015,БашСептик,ИП Ядгаров Артур Уралович,740420063985,318745600144251,Действует по данным официального сайта,Республика Башкортостан,Уфа,Строительство / Сервис,Автономная канализация и монтаж,https://bashseptik.ru/,Подбор установка и обслуживание автономных канализаций; дилер 18 производителей,Растущий региональный бизнес,,,,,Официальный сайт и вакансия; финансовые данные не найдены,,S1,Входящие заявки выросли с 300 до более 1500 в месяц; собственник ищет операционного директора чтобы выйти из операционки и открыть новые рынки,2026-04-27,https://h.careers/job/953dd533-1aa9-490b-a78c-b2f66a3adef9; https://bashseptik.ru/,Компания работает с 2018 года; расширяет географию и управленческую команду,Рост потока заявок требует синхронизации продаж монтажа сервиса логистики документооборота и KPI,Собственник прямо описывает рост заявок в пять раз и необходимость передать операционное управление ради стратегии и новых рынков,Диагностика операционной системы воронки маржинальности загрузки монтажных бригад и план вывода собственника из операционки,Система управления и вывод собственника из операционки,Ядгаров Артур Уралович,Ядгаров Артур Уралович,Ядгаров Артур Уралович,Ядгаров Артур Уралович,Собственник / ИП,Официальный сайт и owner-first вакансия,+7 960 804-29-96,,,,Вакансия операционного директора БашСептик,https://bashseptik.ru/,Маршрут через вакансию и форму сайта,Прямой owner-first маршрут и корпоративный телефон,Официальный сайт; вакансия,3,CONTACT ROUTE FOUND,МОЖНО СВЯЗЫВАТЬСЯ,1,Подтверждены ИП сильный S1 сигнал и официальный телефон,2026-07-20T18:10:00+03:00,,Во второй итерации перепроверить финансовый масштаб и подготовить обращение собственнику,,2026-07-20T18:10:00+03:00,2026-07-20T18:10:00+03:00,GR-20260720-002
GRM-016,LABÁ,ООО «ФЛЕГЕВЕЛЬТ»,4705094340,1224700005090,Действует,Ленинградская область,Волосово,Beauty / E-commerce,Косметика и уходовые бренды,https://labacosmetic.com/,Владелец брендов LABÁ VAERE и KUSSE; продажи косметики через интернет и розничные каналы,Среднее,25 по Xfirm / 2 по РБК; требует сверки,218530000,-8270000,2025,Т-Банк / Xfirm,HIGH,S2,Выручка выросла до 218.5 млн при сохранении убытка; портфель из трёх брендов и активное расширение ассортимента,2026-03-17,https://labacosmetic.com/; https://labacosmetic.com/politica; https://www.tbank.ru/business/contractor/legal/1224700005090/,Бренд выпускает новые линейки и развивает коллаборации и маркетплейс-каналы,Мультибрендовая и многоканальная модель растёт но остаётся убыточной,Выручка выросла на 47% до 218.5 млн при убытке 8.3 млн и трёх брендах; вероятна задача по ассортиментной и канальной экономике,Диагностика P&L по брендам SKU и каналам; приоритеты ассортимента и маркетинговой эффективности,Повышение маржинальности и настройка P&L,Черногорский Вячеслав Константинович 51%; Сократилин Сергей Владимирович 49%,,Черногорский Вячеслав Константинович,Черногорский Вячеслав Константинович,Совладелец и генеральный директор,Т-Банк; РБК Компании,,,,,,https://labacosmetic.com/,,Публичный сайт бренда; прямой контакт не найден,Официальный сайт LABÁ,1,LPR IDENTIFIED,НУЖНА ДОПРОВЕРКА,1,Подтверждены бренд юрлицо владельцы финансы и бизнес-сигнал,2026-07-20T18:10:00+03:00,Не найден публичный телефон или email компании и не подтверждён рабочий маршрут к ЛПР,Найти контакты отдела партнёрств маркетинга или собственника; проверить карточки маркетплейсов и соцсети,,2026-07-20T18:10:00+03:00,2026-07-20T18:10:00+03:00,GR-20260720-002
GRM-017,HEALTHBAND,ООО «ХЕЛСБЕНД»,5031144330,1225000009046,Действует,Московская область,Электросталь / Москва,HealthTech / Retail,Часы и браслеты здоровья,https://healthband.ru/,Бренд часов и браслетов здоровья с офисом и шоурумом в Москве и продажами по СНГ,Микробизнес по юрлицу; реальный операционный масштаб требует проверки,1 по ООО,0,-228000,2024,РБК Компании / Tochka,HIGH для ООО; операционные продажи могут идти через ИП,S3,Официальный сайт показывает офис шоурум и доставку по СНГ при нулевой выручке ООО; гипотеза запроса требует проверки,2026-07-20,https://healthband.ru/; https://healthband.ru/kontakty; https://companies.rbc.ru/id/1225000009046-obschestvo-s-ogranichennoj-otvetstvennostyu-helsbend/,Компания поддерживает физический шоурум в Афимолле и отдельное направление в Казахстане,Публичный масштаб бренда не совпадает с отчётностью ООО; возможны продажи через ИП собственника,Бренд имеет офис шоурум и СНГ-географию но ООО показывает нулевую выручку; перед обращением нужно установить реальное операционное юрлицо и финансовую способность,После уточнения структуры проверить экономику каналов retail e-commerce и СНГ а также управленческую аналитику,Диагностика коммерческой системы,Сухоруков Иван Юрьевич,Сухоруков Иван Юрьевич,Сухоруков Иван Юрьевич,Сухоруков Иван Юрьевич,Собственник и генеральный директор,РБК Компании,+7 (495) 255-44-99,mail@healthband.ru,,,,https://healthband.ru/kontakty,+7 (499) 433-05-20; +7 (777) 084-63-00; almaty@healthband.net,Корпоративные маршруты офиса шоурума и СНГ,Официальный сайт HEALTHBAND,5,CONTACT ROUTE FOUND,НУЖНА ДОПРОВЕРКА,1,Подтверждены ООО собственник бренд география и контакты,2026-07-20T18:10:00+03:00,Финансовая способность и операционное юрлицо не подтверждены; ООО показывает нулевую выручку,Проверить ИП Сухорукова и определить через какое лицо идут продажи,,2026-07-20T18:10:00+03:00,2026-07-20T18:10:00+03:00,GR-20260720-002
GRM-018,MED YU MED,ООО «МЕД-Ю-МЕД»,7730315567,1237700886081,Действует,Москва,Москва / Дубай,Beauty / Medical,Косметологические клиники и e-commerce,https://med-yu-med.ru/,Косметологическая клиника с двумя площадками в Москве точкой в Дубае и интернет-магазином,Выше основного диапазона,,536248000,188920000,2025,РБК Компании / Т-Банк,HIGH,S2,Выручка выросла с 111 до 536.2 млн; две клиники в Москве точка в Дубае и отдельный интернет-магазин,2026-07-20,https://med-yu-med.ru/about/; https://companies.rbc.ru/id/1237700886081-ooo-ooo-med-yu-med/,Бизнес развивает международную площадку и e-commerce наряду с клиниками,Рост почти в пять раз и несколько центров прибыли усложняют управление загрузкой и экономикой услуг,Компания за год выросла почти в пять раз до 536.2 млн и управляет клиниками в двух странах и магазином; сильный сигнал на систему управления но масштаб чуть выше лимита,Диагностика P&L по локациям услугам и e-commerce; система управления ростом и загрузкой,Система управления и настройка P&L,Хасиев Арсланбек Русланович,,Хасиев Арсланбек Русланович,Хасиев Арсланбек Русланович,Собственник и генеральный директор,Т-Банк; РБК Компании,8 800 550-08-96,info@med-yu-med.ru,Ссылка Telegram на официальном сайте,,,https://med-yu-med.ru/kontakty/,WhatsApp; +7 926 731-52-35 для интернет-магазина,Корпоративный маршрут к собственнику и каналы клиники,Официальный сайт MED YU MED,5,CONTACT ROUTE FOUND,RESERVE,1,Подтверждены юрлицо владелец финансы география и контакты,2026-07-20T18:10:00+03:00,Выручка 536.2 млн превышает основной лимит 500 млн; личный контакт собственника не найден,Оставить в резерве до решения по пограничному масштабу или появления прямого owner-first сигнала,,2026-07-20T18:10:00+03:00,2026-07-20T18:10:00+03:00,GR-20260720-002
GRM-019,МОНИТОРУС,ООО «МОНИТОРУС»,7713492750,1227700610741,Действует,Москва,Москва,Производство / IT,Российские мониторы и периферия,https://monitoros.ru/,Российский производитель мониторов с более чем 20 моделями и 100 конфигурациями,Малое предприятие,,92331000,14840000,2024,РБК Компании / Tochka,HIGH,S2,Выручка выросла на 550%; компания вошла в топ-5 производителей и ищет торговых партнёров поставщиков и интеграторов,2026-07-20,https://monitoros.ru/; https://companies.rbc.ru/id/1227700610741-ooo-monitorus/,Производитель расширяет продуктовую линейку и партнёрский B2B-канал,Быстрый рост и широкий конфигурируемый ассортимент требуют сегментации партнёров и контроля продуктовой экономики,Выручка выросла с 14.2 до 92.3 млн и компания активно привлекает интеграторов и торговых партнёров; возможна задача по партнёрской воронке и прибыльности конфигураций,Диагностика партнёрских продаж продуктовой матрицы воронки и аналитики по сегментам,Построение коммерческой функции,Рожко Юрий Алексеевич,Рожко Юрий Алексеевич,Рожко Юрий Алексеевич,Рожко Юрий Алексеевич,Собственник и генеральный директор,РБК Компании,+7 (495) 660-35-80,support@monitoros.ru,,,,https://monitoros.ru/,,Корпоративный маршрут с просьбой передать собственнику,Официальный сайт МОНИТОРУС,3,CONTACT ROUTE FOUND,МОЖНО СВЯЗЫВАТЬСЯ,1,Подтверждены юрлицо рост собственник партнёрский сигнал и контакты,2026-07-20T18:10:00+03:00,,Во второй итерации подготовить benchmark партнёрского канала и обращение собственнику,,2026-07-20T18:10:00+03:00,2026-07-20T18:10:00+03:00,GR-20260720-002
GRM-020,Школа практического инвестирования,ООО «ШКОЛА ИНВЕСТИРОВАНИЯ»,7805819772,1247800118697,Действует,Санкт-Петербург,Санкт-Петербург / онлайн,EdTech,Онлайн-образование инвестициям,https://investorpractic.ru/,Онлайн-школа инвестирования Фёдора Сидорова с десятками тысяч платных учеников и большой бесплатной аудиторией,Среднее,50+ по публичным материалам,196000000,,2025,Firmoteka,MEDIUM,S2,Выручка около 196 млн; в 2026 школа одновременно нанимает руководителя трафика маркетолога SMM и лид-менеджеров для роста продаж,2026-06-17,https://nesiditsa.ru/vacancy/133354129; https://investorpractic.ru/fedor-sidorov/; https://firmoteka.ru/7805819772,Активный набор коммерческой и маркетинговой команды в 2026 году,Школа масштабирует лидогенерацию и продажи при большой базе учеников и owner-first управлении,При выручке около 196 млн школа одновременно усиливает трафик маркетинг и квалификацию лидов; вероятна задача по единой воронке CAC конверсии и маржинальности,Диагностика связки трафика продаж продуктовой линейки P&L и управленческой системы роста,Аудит маркетинга и продаж,Сидоров Федор Александрович,Сидоров Федор Александрович,Сидоров Федор Александрович,Сидоров Федор Александрович,Собственник и генеральный директор,РБК Компании; официальный сайт,8 800 707-66-56,,Публичный Telegram Фёдора Сидорова с официального сайта,,Вакансии школы на HH и агрегаторах,https://investorpractic.ru/fedor-sidorov/,+7 981 772-07-78,Публичные owner-first и корпоративные маршруты,Официальный сайт; вакансии,4,CONTACT ROUTE FOUND,МОЖНО СВЯЗЫВАТЬСЯ,1,Подтверждены юрлицо собственник масштаб коммерческие вакансии и контакты,2026-07-20T18:10:00+03:00,,Во второй итерации подготовить анализ воронки EdTech и обращение собственнику,,2026-07-20T18:10:00+03:00,2026-07-20T18:10:00+03:00,GR-20260720-002
GRM-021,Zaboroff,ООО ЗАБОРОФФ,9709008831,1177746882840,Действует,Москва,Москва,Производство и строительство ограждений,,,,18 сотрудников,,,,,РБК Компании,,S2,,2026-07-21,https://companies.rbc.ru/id/1177746882840-ooo-zaboroff/; https://www.zaboroff.ru/about/; https://hh.ru/vacancy/129646446,,,,,,Каширин Олег Вячеславович,,,Каширин Олег Вячеславович,,,,,,,,,,Корпоративный маршрут плюс owner-first вакансия,Официальный сайт; РБК Компании; HH,,CONTACT ROUTE FOUND,МОЖНО СВЯЗЫВАТЬСЯ,1,,,,Во второй итерации подготовить обращение собственнику по B2B-направлению и маржинальности,,2026-07-21T09:10:00+03:00,,GR-20260721-003
GRM-022,Orange Logistic,ООО ОРАНЖ СПЕДИШН,7730645420,1117746431758,Действует,Москва,Москва,Международная логистика,,,,1 сотрудник по юрлицу; более 800 клиентов по сайту,,,,,РБК Компании,,S2,,2026-07-21,https://companies.rbc.ru/id/1117746431758-ooo-oranzh-spedishn/; https://orangelogistic.ru/; https://hh.ru/vacancy/130081119,,,,,,Кушнеренко Алексей Владимирович,,,Кушнеренко Алексей Владимирович,,,,,,,,,,Корпоративный маршрут с просьбой передать собственнику,Официальный сайт; РБК Компании; HH,,CONTACT ROUTE FOUND,МОЖНО СВЯЗЫВАТЬСЯ,1,,,,Во второй итерации подготовить обращение собственнику о построении коммерческой системы,,2026-07-21T09:10:00+03:00,,GR-20260721-003
GRM-023,Chacha's Club / Chacha's Crew,ИП Кожомин Кирилл Павлович,772792124567,319774600704879,Действует,Москва,Москва,Сервисы / beauty-tech,Клуб лояльности и партнёрская сеть для beauty-мастеров,https://chachas.ru/,Сервис локальных клубов лояльности и взаимных рекомендаций для мастеров индустрии красоты и здоровья,Микробизнес / растущий проект,,,,Операционный масштаб,Официальный сайт и презентация,MEDIUM,S1,Основатель публично ищет руководителя продаж для построения отдела с нуля и масштабирования модели до 300+ новых партнёров в месяц,2026-01-16,https://hh.ru/vacancy/129530808,,На официальном сайте заявлено сообщество более 10000 участников; модель монетизации — партнёрская подписка 990 ₽ в месяц и эксклюзивность по районам и нишам,Связка действующего ИП с брендом подтверждена официальным сайтом; есть публичный основатель конкретная коммерческая задача измеримый масштаб и прямой корпоративный маршрут,Диагностика unit-экономики CAC/LTV и churn; проектирование воронки партнёров; CRM KPI мотивация и 90-дневный план масштабирования,Коммерческая диагностика и архитектура отдела продаж,Кожомин Кирилл Павлович,Кожомин Кирилл Павлович,Кожомин Кирилл Павлович,Кожомин Кирилл Павлович,Собственник / сооснователь,Официальный сайт HH и РБК Компании,+7 (963) 642-80-70,,https://t.me/chachascrew,,https://hh.ru/vacancy/129530808,https://chachas.ru/presentation,Официальный сайт и Telegram бренда,Корпоративные каналы с просьбой передать сообщение Кириллу Кожомину,Официальный сайт Chacha's Club,4,CONTACT ROUTE FOUND,МОЖНО СВЯЗЫВАТЬСЯ,1,Подтверждены ИП ИНН ОГРНИП бренд масштаб собственник S1-сигнал и маршруты,2026-07-31T00:24:00+04:00,Не подтверждена выручка и способность купить проект 150–800 тыс. руб.,Не готовить обращение без отдельной команды,,2026-07-31T00:24:00+04:00,2026-07-31T00:24:00+04:00,GR-20260731-081
GRM-024,MARROB,ООО «МАРРОБ РУС»,5032331540,1215000079304,Действует,Московская область,Одинцово,Производство и дистрибуция,Фасадные термопанели; декоративный камень; фасадные системы,https://marrob.ru/,Российская частная производственная компания фасадных решений для частных клиентов; застройщиков и проектных объектов,Микропредприятие,4,13000000,-1700000,2024,РусПрофайл / открытая бухгалтерская отчётность,MEDIUM,S1,Запуск отдела продаж с нуля; CRM; воронка; регламенты; KPI; личные продажи; прямое взаимодействие с собственником,2026-02-05,https://hh.ru/vacancy/130209818,Активный управленческий найм коммерческого блока,Компания производит и продаёт фасадные решения; работает с B2C; застройщиками и проектными заказами; нуждается в формализации длинных продаж и управлении маржой,Сильное совпадение профиля: подтверждены юрлицо; владелец; производственный продукт; S1-сигнал; практические корпоративные маршруты; масштаб соответствует нижней границе целевого профиля,Диагностика коммерческой модели; сегментация B2C/B2B; CRM-воронка; экономика проектов; KPI; дилерский и проектный каналы,Коммерческая диагностика и 90-дневная дорожная карта,Шабалтас Наталья Анатольевна,Шабалтас Наталья Анатольевна,Шабалтас Наталья Анатольевна,Шабалтас Наталья Анатольевна,Собственник 100% и генеральный директор,РБК Компании; РусПрофайл,+7 (916) 666-23-35,info@marrob.ru,,,https://hh.ru/vacancy/130209818,https://marrob.ru/kontakty/,+7 (495) 205-53-63,Корпоративные маршруты с просьбой передать сообщение Наталье Шабалтас,Официальный сайт и HeadHunter,4,CONTACT ROUTE FOUND,МОЖНО СВЯЗЫВАТЬСЯ,1,Проверены дедупликация; юрлицо; ИНН; собственник; масштаб; сигнал и маршруты,2026-07-30T23:11:00+04:00,Выручка 7.3 млн руб. и один сотрудник не соответствуют минимальному целевому масштабу,При отдельной команде подготовить персонализированную гипотезу без позиционирования кандидатом,,2026-07-30T23:11:00+04:00,2026-07-30T23:11:00+04:00,GR-20260730-080
GRM-025,АИ Авто,,TEMP-AI-AUTO-MSK,,Бренд и деятельность подтверждены; юрлицо не установлено,Москва,Москва,Импорт и продажа автомобилей,,,,7 лет работы и сотни клиентов по сайту,,,,,Официальный сайт и HH,,S2,,2026-07-21,https://ai-import.ru/; https://hh.ru/employer/5791098; https://hh.ru/vacancy/129763647,,,,,,Артем Иванов и Иван,,,Артем Иванов,,,,,,,,,,Публичный профиль основателя и корпоративные маршруты,Официальный сайт; Telegram; HH,,LEGAL MATCH,НУЖНА ДОПРОВЕРКА,1,,,Не найдено точное операционное юрлицо и ИНН бренда,Установить реквизиты из договора; оферты; политики сайта или карточки платежного получателя,,2026-07-21T09:10:00+03:00,,GR-20260721-003
GRM-026,Атмосферика,ООО «Атмосферика»,7814551360,1127847550962,Действует,Санкт-Петербург,Санкт-Петербург / Москва,IT / Telecom / B2B,,,,12 лет на рынке; 1000+ проектов,,,,,"РБК Компании, 2025",,S2,,2026-07-26,https://companies.rbc.ru/id/1127847550962-ooo-atmosferika/; https://atmospherica.ru/; https://hh.ru/vacancy/129991530,,,,,,Гайдучек Дмитрий Владимирович,,,Гайдучек Дмитрий Владимирович,,,,,,,,,,Корпоративный маршрут и публичная форма основателя,Официальный сайт; РБК Компании; HH,,CONTACT ROUTE FOUND,МОЖНО СВЯЗЫВАТЬСЯ,1,,,,Во второй итерации подготовить обращение собственнику по масштабированию B2B-продаж и экономике направления,,2026-07-26T22:45:00+03:00,,GR-20260726-004
GRM-027,Кристон-Кадастр,ООО «КРИСТОН-КАДАСТР»,7725316710,1167746456404,Действует,Москва,Москва,Недвижимость / Кадастровые и проектные услуги,,,,13 сотрудников,,,,,"РБК Компании, 2025",,S2,,2026-07-26,https://companies.rbc.ru/id/1167746456404-ooo-kriston-kadastr/; https://kriston-kadastr.ru/contacts; https://hh.ru/vacancy/129480935,,,,,,Человечков Антон Алексеевич; Фурсова Кристина Юрьевна,,,Человечков Антон Алексеевич,,,,,,,,,,Прямой корпоративный маршрут к генеральному директору-соучредителю,Официальный сайт; РБК Компании; HH,,CONTACT ROUTE FOUND,МОЖНО СВЯЗЫВАТЬСЯ,1,,,,"Во второй итерации подготовить обращение о воронке, повторных продажах и загрузке специалистов",,2026-07-26T22:45:00+03:00,,GR-20260726-004
GRM-028,Авто Сувенир,ООО «АВТО СУВЕНИР»,7743799795,1107746944360,Действует,Москва,Москва,Оптовая торговля непродовольственными товарами; бизнес-сувениры и корпоративные подарки; B2B и несколько товарных направлений,,,,малый частный бизнес; 9 сотрудников; товарный знак PD PRESENT DAY; продажи и поставки сувенирной продукции,,,,,Бухгалтерская отчётность за 2025 год по данным РБК Компании; прибыль 5 468 000 ₽,,S1,,2026-02-05,https://hh.ru/vacancy/130066730,,,,,,Зевакин Алексей Владимирович — единственный учредитель и генеральный директор,,,Зевакин Алексей Владимирович — собственник и генеральный директор,,,,,,,,,,Корпоративные маршруты к собственнику и генеральному директору,РБК Компании; HeadHunter; Яндекс Карты,,CONTACT ROUTE FOUND,МОЖНО СВЯЗЫВАТЬСЯ,1,,,,Во второй итерации использовать корпоративный телефон или HH с просьбой передать предложение Алексею Зевакину; ничего не готовить и не отправлять без отдельного разрешения,,2026-07-29T17:08:05+04:00,,GR-20260729-049
GRM-029,Агентство недвижимости «Ключ»,ИП Мухетдинов Данис Рустамович,164306684211,,Действует по официальному сайту и отраслевому реестру,Республика Татарстан,Казань / Москва,Недвижимость / Агентские услуги,,,,100+ сотрудников; 15000+ клиентов по официальному сайту,,,,,Официальный сайт и отраслевой реестр,,S2,,2026-07-26,https://kluch.me/new/; https://kluch.me/o-kompanii/; https://hh.ru/vacancy/129916548,,,,,,Мухетдинов Данис Рустамович,,,Мухетдинов Данис Рустамович,,,,,,,,,,Публичный маршрут к основателю через официальный сайт и вакансию,Официальный сайт; Гильдия риэлторов РТ; HH,,CONTACT ROUTE FOUND,МОЖНО СВЯЗЫВАТЬСЯ,1,,,,Во второй итерации подтвердить финансовый масштаб ИП и подготовить обращение о масштабировании Казань–Москва,,2026-07-26T22:45:00+03:00,,GR-20260726-004
GRM-030,Крути Педали,ИП Латышева Н.Н. по текущей платёжной странице; ранее ИП Зарина В.Н.,773104959143,319774600680871,Бизнес действует; операционное лицо требует сверки,Москва,Москва,Прокат / Сервис / Шеринг оборудования,,,,650+ единиц парка; 40000+ клиентов в год по сайту,,,,,Официальный сайт,,S2,,2026-07-26,https://www.kruti-pedali.ru/; https://kruti-pedali2025.ru/webapp; https://www.kruti-pedali.ru/o-prokate/oferta.html; https://hh.ru/vacancy/129481377,,,,,,Требует подтверждения,,,Собственник бизнеса / операционный руководитель,,,,,,,,,,Корпоративный маршрут; юридическая структура требует сверки,Официальный сайт; платёжная страница; оферта; HH,,LEGAL MATCH,НУЖНА ДОПРОВЕРКА,1,,,На разных официальных страницах указаны разные ИП: Латышева Н.Н. и Зарина В.Н.,Установить действующее операционное лицо по актуальной оферте и платёжному получателю; проверить финансовый масштаб,,2026-07-26T22:45:00+03:00,,GR-20260726-004
