Lead ID,Brand,Legal Name,INN,OGRN/OGRNIP,Region,Segment,Revenue/Scale,Signal Level,Signal Summary,Owner,CEO,LPR,LPR Role,Primary Phone,Primary Email,Telegram,VK,HH Contact,Contact Form,Other Contact,Contact Type,Contact Source,Number Of Contacts Found,Consulting Hypothesis,Final Quick Status,Added At,Updated At,Run ID,Campaign ID
N5K-0058,AI-UP,ООО «НЕЙРОЛИД»,7805819300,1247800110348,Санкт-Петербург,IT / SaaS / AI / лидогенерация,Выручка 43 768 000 ₽ за 2025 год; 10 000+ зарегистрированных пользователей; 7 000 000+ выданных идентификаций; собственное ПО в реестре российского ПО,S1,Компания нанимает руководителя B2B SaaS-продаж с задачей сформировать команду менеджеров по продажам с нуля и выстроить систему адаптации обучения и развития отдела,Щербинин Данила Андреевич 75%; Розенко Виктор 25%,Щербинин Данила Андреевич,Щербинин Данила Андреевич,Генеральный директор и мажоритарный собственник 75%,,info@ai-up.ru,,,https://spb.hh.ru/vacancies/rukovoditel-otdela-prodazh-b2b,https://ai-up.ru/,,Email + Website Chat + Vacancy,Официальный сайт; РБК Компании; HeadHunter; агрегатор вакансий,3,Диагностика и масштабирование B2B SaaS-продаж; сегментация ICP; CRM-воронка; unit-экономика; KPI; партнёрский канал и 90-дневный план формирования отдела продаж,МОЖНО СВЯЗЫВАТЬСЯ,2026-08-07T11:03:48+03:00,2026-08-07T11:03:48+03:00,N5K-20260807-094,new_5000
N5K-0060,Ectem / Ectem OK,ООО «ЭКТЕМ ОК»,1683001457,1211600080911,Республика Татарстан,B2B SaaS / AI / речевая аналитика,Выручка 21 551 000 ₽ за 2025 год; рост +123.6% к 2024; резидент ОЭЗ Иннополис; SaaS и on-prem продукт в реестре российского ПО,S1,Компания ищет Head of Sales B2B SaaS; требуется опыт формирования отделов продаж с нуля и самостоятельное выстраивание процессов в быстрорастущей компании,Храмцов Алексей Романович,Храмцов Алексей Романович,Храмцов Алексей Романович,Генеральный директор и учредитель,+7 (812) 665-51-55,info@ectem.ru,,,https://spb.hh.ru/vacancies/rukovoditel-otdela-prodazh-rop/za_poslednie_tri_dnya,https://ectem.ru/,,Phone + Email + Website + Vacancy,Официальный сайт; ОЭЗ Иннополис; Saby; HeadHunter,4,Диагностика B2B SaaS-коммерческой модели; сегментация ICP; построение outbound/inbound воронки; KPI и unit-экономика; найм и 90-дневный запуск отдела продаж,МОЖНО СВЯЗЫВАТЬСЯ,2026-08-07T12:59:43+03:00,2026-08-07T12:59:43+03:00,N5K-20260807-096,new_5000
N5K-0063,SILENKO AUTOcratia,ООО «СИЛЕНКО АВТОКРАТИЯ»,2464164549,1242400006122,Красноярский край,Автомобильный импорт / B2C+B2B,Выручка 10 696 000 ₽ за 2025 год; более 4000 привезённых автомобилей; офисы в нескольких городах России,S1,Компания нанимает руководителя отдела продаж для построения отдела с нуля; формирования команды и процессов продаж,Силенко Герман Антонович,Силенко Герман Антонович,Силенко Герман Антонович,Собственник 100% и генеральный директор,+7 (923) 296-86-24,sales@silenkoautocratia.ru,,,https://hh.ru/employer/10843357,https://silenkoautocratia.ru/,,Phone + Email + Telegram + VK + Contact Form + HH,Официальный сайт; РБК Компании; T-Bank; HeadHunter,6,Диагностика коммерческой модели импорта авто; сегментация каналов; CRM-воронка; KPI; маржинальность; масштабирование региональной сети и 90-дневный план построения отдела,МОЖНО СВЯЗЫВАТЬСЯ,2026-08-07T15:59:16+03:00,2026-08-07T15:59:16+03:00,N5K-20260807-099,new_5000
N5K-0065,TALANTLIVO,ООО «СОФТ ОН ТАЙМ»,7451459689,1227400028019,Челябинская область,IT / аутстаффинг / AI-автоматизация / B2B,Выручка 93 430 000 ₽ за 2024 год; официальный сайт заявляет 500+ региональных IT-компаний в партнёрской сети и 30+ одновременных проектов,S1,Компания усиливает коммерческий контур и ищет руководителя отдела продаж; вакансия основателя ориентирована на системное выстраивание продаж и команды в растущем IT-бизнесе,Салаватов Нурлан Кадиржанович 70%; Шахов Максим Станиславович 30%,Салаватов Нурлан Кадиржанович,Салаватов Нурлан Кадиржанович,Основатель; генеральный директор; совладелец 70%,+7 (962) 889-05-54,info@talantlivo.pro,,,https://nesiditsa.ru/vacancy/133902260,https://talantlivo.pro/contacts,,Phone + Email + Telegram + Contact Form + Vacancy,Официальный сайт; Tochka Check; вакансия работодателя; Сетка,5,Диагностика B2B-продаж IT-аутстаффинга и AI-решений; сегментация ICP; продуктовая упаковка; CRM-воронка; KPI; партнёрский канал и 90-дневный план масштабирования продаж,МОЖНО СВЯЗЫВАТЬСЯ,2026-08-07T18:00:48+03:00,2026-08-07T18:00:48+03:00,N5K-20260807-101,new_5000
N5K-0066,Макошь,ООО «МАКОШЬ»,7153001004,1207100014230,Тульская область,Пищевая промышленность / B2B ингредиенты / контрактное производство,Выручка 55 570 000 ₽ за 2025 год; 20 сотрудников; производственная мощность 20 000 тонн семечки в год; резидент ОЭЗ «Узловая»,S1,Компания ищет руководителя B2B-продаж для построения функции продаж с нуля или существенного усиления существующей системы; требуется структура команды CRM воронка KPI и развитие B2B-каналов,Рябов Василий Владимирович 36.85%; Макаренкова Лариса Федоровна 36.85%; другие физлица,Рябов Сергей Сергеевич,Рябов Сергей Сергеевич,Генеральный директор / практический ЛПР,+7 (495) 987-37-14,info@makosh.pro,,,https://facancy.ru/vacancies/rukovoditel-b2b-prodazh-v-proizvodstvennuiu-kompaniiu-makosh,https://makosh.pro/about/,,Phone + Email + WhatsApp/Telegram + Contact Form + Vacancy,Официальный сайт; РБК Компании; T-Банк; Facancy,5,Диагностика B2B-коммерческой модели завода; сегментация пищевых и косметических производств; контрактное производство; CRM-воронка; KPI; экономика каналов и 90-дневный план роста,МОЖНО СВЯЗЫВАТЬСЯ,2026-08-07T19:01:07+03:00,2026-08-07T19:01:07+03:00,N5K-20260807-102,new_5000
N5K-0068,Laspan Group / Ласпан Групп,ООО «ЛАСПАН ГРУПП»,0276906949,1150280053175,Республика Башкортостан,Производство строительных материалов / B2B,Выручка 347 999 000 ₽ и прибыль 4 156 000 ₽ за 2024 год; официальный сайт заявляет 3 млн+ единиц отгруженной продукции 5 тыс.+ отгрузок и 3 завода в России,S1,Компания ищет коммерческого директора / директора по продажам для масштабирования коммерческой функции; работодатель указывает годовую выручку около 800 млн ₽ и задачу роста команды продаж с 10 до 30+ человек,Андреев Тимур Валентинович 75%; Медведевских Александр Олегович 25%,Андреев Тимур Валентинович,Андреев Тимур Валентинович,Основатель 75% / генеральный директор,+7 800 775-81-23,gendir@laspan.ru,,,https://nesiditsa.ru/vacancy/133663489,https://laspan.ru/kontakty/,,Phone + Email + Telegram + Contact Form + Vacancy,Официальный сайт; РБК Компании; вакансия,5,Диагностика коммерческой модели производственной группы; сегментация B2B-каналов; масштабирование команды продаж; CRM-воронка; маржинальность; KPI и 90-дневный план роста,МОЖНО СВЯЗЫВАТЬСЯ,2026-08-07T19:58:20+03:00,2026-08-07T19:58:20+03:00,N5K-20260807-103,new_5000
N5K-0069,MiMiSmart / СмартБрик,ООО «СМАРТБРИК»,7726385307,1167746806490,Москва,Smart Home / IoT / инженерная автоматизация,Выручка 27 112 000 ₽ и прибыль 140 000 ₽ за 2025 год; бренд работает с 2004 года и вакансия заявляет 5000+ реализованных проектов по миру,S1,Компания ищет руководителя отдела продаж с задачей построить отдел продаж с нуля: структура воронка скрипты и контроль,Абанин Максим Сергеевич 100%,Абанин Максим Сергеевич,Абанин Максим Сергеевич,Собственник 100% и генеральный директор,+7 800 505-20-53,msk@mimismart.ru,,,https://careerist.ru/vakansii/rukovoditel-otdela-prodazh-smartbrik-83334332.html,https://mmsmart.ru/kontaktyi/,,Phone + Email + Contact Form + Vacancy,Официальный сайт; РБК Компании; Careerist,4,Диагностика коммерческой модели Smart Home; сегментация B2C/B2B и партнёрского канала; CRM-воронка; KPI; экономика проектов и 90-дневный план запуска отдела продаж,МОЖНО СВЯЗЫВАТЬСЯ,2026-08-07T21:00:24+03:00,2026-08-07T21:00:24+03:00,N5K-20260807-104,new_5000
N5K-0070,LaunchBase / SpaceAI,ООО «СПЭЙСЭЙАЙ»,1685016650,1241600021673,Республика Татарстан,AI / B2B SaaS / EdTech creator platform,Официальный сайт заявляет 1000+ продюсеров; 500+ успешных запусков инфопродуктов ежемесячно; ежемесячный прирост пользователей 15–20%; параллельно компания развивает B2B AI-security продукт и нанимает коммерческого руководителя,S1,Свежая вакансия Commercial Director / Head of Go-to-Market ставит задачу построить B2B/Enterprise-продажи с нуля; сформировать воронку квалификацию лидов и коммерческую команду,Гализянов Ранис Риязович 100%,Гализянов Ранис Риязович,Гализянов Ранис Риязович,Собственник 100% и генеральный директор,+7 967 378-97-77,support@launch-base.ru,,,https://kazan.hh.ru/vacancies/rukovoditel-proektov-informatsionnaya-bezopasnost/udalennaya_rabota,https://launch-base.ru/,,Phone + Email + Telegram + Contact Form + Vacancy,Официальный сайт; РБК Компании; Companium; HeadHunter,5,Диагностика GTM B2B AI/SaaS; ICP и сегментация enterprise; pipeline и CRM; unit-экономика; KPI; партнёрские каналы и 90-дневный запуск коммерческой функции,МОЖНО СВЯЗЫВАТЬСЯ,2026-08-07T22:00:52+03:00,2026-08-07T22:00:52+03:00,N5K-20260807-105,new_5000
N5K-0071,ЕГЭLAND,ООО «ЕГЭЛЭНД»,3808272113,1203800015066,Иркутская область,EdTech / онлайн-образование / собственная образовательная платформа,Выручка 1.761704 млрд ₽ за 2025 год по публичным реестровым агрегаторам; официальный сайт заявляет 8+ лет на рынке и 56 845 выпускников с результатом ЕГЭ 80+ / ОГЭ 5,S1,Вакансия руководителя отдела продаж от 22.05.2026 ставит задачу по новым воронкам построить боеспособный отдел продаж практически с нуля; собрать и адаптировать команду и сделать управление предсказуемым по KPI,Филатов Александр Дмитриевич 100%,Филатов Александр Дмитриевич,Филатов Александр Дмитриевич,Собственник 100% и генеральный директор,+7 (800) 302-69-36,egeland_office@mail.ru,,,https://facancy.ru/vacancies/rukovoditel-otdela-prodazh-v-onlain-shkolu-egeland,https://el-ed.ru/,,Phone + Email + Website + Vacancy,Официальный сайт; РБК Компании; публичные реестровые агрегаторы; Facancy,4,Диагностика коммерческой системы EdTech; новые воронки; сегментация продуктов и каналов; CRM/KPI; CAC/LTV; управление командой и 90-дневный план масштабирования продаж,МОЖНО СВЯЗЫВАТЬСЯ,2026-08-07T22:58:20+03:00,2026-08-07T22:58:20+03:00,N5K-20260807-106,new_5000
N5K-0072,VICTORY group,ООО «ВИКТОРИ»,7734451120,1227700076780,Москва,Digital-маркетинг / рекламное агентство / B2B,Выручка 2.099410 млрд ₽ за 2025 год; рост +27.9% к 2024; 334 сотрудника против 140 годом ранее; официальный сайт заявляет 15 000+ компаний-клиентов ежемесячно,S1,Компания быстро масштабирует коммерческий контур: выручка выросла на 27.9% и штат более чем удвоился; одновременно открыта вакансия Руководитель отдела продаж / Sales Director с ответственностью за управление продажами и дальнейший рост B2B-направлений,Гилимзянов Тимур Азатович 90%; ООО «Виктори» 10%,Гилимзянов Тимур Азатович,Гилимзянов Тимур Азатович,Генеральный директор и контролирующий собственник,+7 800 101-06-69,pr@victoryagency.ru,,,https://victoryagency.ru/career/vacancies/rukovoditel-otdela-prodazh-rop-sales-director-so-znaniem-angliyskogo-yazyka,https://victoryagency.ru/contacts,,Phone + Email + Telegram + WhatsApp + Vacancy,Официальный сайт; РБК Компании; Firmoteka; HeadHunter/карьерная страница,5,Диагностика коммерческой архитектуры агентства на фазе быстрого роста; P&L по направлениям; сегментация B2B; CRM-воронка; KPI РОП; unit-экономика; управление ростом штата и 90-дневная программа повышения маржинальности,МОЖНО СВЯЗЫВАТЬСЯ,2026-08-08T00:00:25+03:00,2026-08-08T00:00:25+03:00,N5K-20260808-107,new_5000
N5K-0073,Мотус Москва,ООО «МОТУС МОСКВА»,9729079252,1177746442961,Москва,Дорожное строительство / благоустройство / стройматериалы / B2B,Выручка 27.125 млн ₽ за 2025 год; 8 сотрудников; официальный сайт заявляет более 1000 клиентов,собственный парк техники и более 10 лет опыта,S1,2026-07-08,https://dreamjob.ru/employers/6368748/vakansii/134982292,Арзуманян Мгер Геворкович 100%,Арзуманян Мгер Геворкович,Арзуманян Мгер Геворкович,Единственный собственник и генеральный директор,,,+7 (968) 572-54-52,motus.rus@gmail.com,,https://dreamjob.ru/employers/6368748/vakansii/134982292,https://asfalt-v-moskve.ru/,Phone + Email + Contact Form + Vacancy,Официальный сайт; РБК Компании; DreamJob/HeadHunter,МОЖНО СВЯЗЫВАТЬСЯ,Диагностика и запуск системного B2B-коммерческого контура: сегментация заказчиков,продуктовая матрица услуг и материалов,CRM-воронка,new_5000
N5K-0074,Мир Станочника,ООО «МИР СТАНОЧНИКА»,7705737205,1067746716443,Москва,Промышленное оборудование / металлообработка / B2B,Выручка 2.436 млрд ₽ за 2025 год; официальный сайт указывает более 20 лет на рынке и более 100 сотрудников; филиалы в Москве Санкт-Петербурге и Екатеринбурге,S1,Компания ищет руководителя отдела продаж металлорежущего инструмента и оснастки для формирования отдела продаж с нуля: структура роли найм команда стратегия продвижения дилерская сеть и работа с крупными промышленными предприятиями,Тренев Дмитрий Викторович 100%,Веселов Виктор Викторович,Тренев Дмитрий Викторович,Единственный собственник; стратегический ЛПР,+7 (495) 118-21-61,info@mirstan.ru,,,https://vgorode.moscow/rabota/vakansiya-134862476/,https://mirstan.ru/,,Phone + Email + Contact Form + Vacancy,Официальный сайт; РБК Компании; вакансия,4,Построение и масштабирование промышленного B2B-коммерческого контура: сегментация отраслей и ключевых аккаунтов дилерская модель CRM-воронка KPI отдела система найма и адаптации менеджеров коммерческая аналитика и 90-дневный план роста,МОЖНО СВЯЗЫВАТЬСЯ,2026-08-08T02:04:50+03:00,2026-08-08T02:04:50+03:00,N5K-20260808-109,new_5000
N5K-0075,Серьёзная Мебельная Фабрика,ООО «ПРОИЗВОДСТВЕННЫЙ ХОЛДИНГ»,7816717420,1217800071422,Санкт-Петербург,Мебельное производство / B2B / проектная мебель,Выручка 61.362 млн ₽ за 2025 год; официальный сайт позиционирует компанию как крупную производственную фабрику и показывает портфель корпоративных клиентов включая Сбер Мегафон Автодор Алроса и другие,S1,Свежая вакансия руководителя отдела продаж B2B от 8 июля 2026 требует самостоятельно набрать команду менеджеров с нуля организовать отдел найти новые каналы сбыта и выстроить отношения с крупными постоянными клиентами,Зотов Алексей Сергеевич 100%,Зотов Алексей Сергеевич,Зотов Алексей Сергеевич,Единственный собственник и генеральный директор,+7 (812) 213-20-20,zakaz@s-mf.ru,,,https://spb.careerist.ru/vakansii/rukovoditel-otdela-prodazh-mebelnoe-proizvodstvo-b2b-88600186.html,https://s-mf.ru/,,Phone + Email + Contact Form + Vacancy,Официальный сайт; РБК Компании; Точка Досье; Careerist,4,Построение системного B2B-коммерческого контура мебельного производства: сегментация сетей девелоперов дизайнеров и архитекторов CRM-воронка KPI найм и адаптация менеджеров тендерные и партнёрские каналы контроль маржинальности и 90-дневный план роста,МОЖНО СВЯЗЫВАТЬСЯ,2026-08-08T03:04:41+03:00,2026-08-08T03:04:41+03:00,N5K-20260808-110,new_5000
N5K-0078,Союз Девелоперов Москвы,ООО «ЕКЦН»,6165207713,1176196024190,Ростовская область,Недвижимость / агентство премиум-класса / B2C+B2B,"Выручка 86,518 млн ₽ за 2024 год; официальный сайт работает с бизнес- и премиум-недвижимостью Москвы; HeadHunter показывает активное расширение команды",S1,Вакансия Head of Sales от 10 июля 2026 прямо предлагает создать и вести прибыльный отдел продаж с нуля с полной ответственностью за результат,Лукьянов Никита Владимирович 100%,Лукьянов Никита Владимирович,Лукьянов Никита Владимирович,Единственный собственник и директор,+7 (499) 391-56-95,,,,https://hh.ru/employer/4322139,https://sdm-moscow.ru/,,Phone + Contact Form + Vacancy,Официальный сайт; РБК Компании; Careerist; HeadHunter,3,"Систематизация и масштабирование продаж премиальной недвижимости: сегментация лидов, CRM-воронка, KPI брокеров, стандарты сервиса, найм и адаптация команды, аналитика конверсий и unit-экономика каналов",МОЖНО СВЯЗЫВАТЬСЯ,2026-08-08T04:58:44+03:00,2026-08-08T04:58:44+03:00,N5K-20260808-112,new_5000
